Posição,País,Medalhas de Ouro,Medalhas de Prata,Medalhas de Bronze,Total de Medalhas
77º,Montenegro MNE,0.0,0.0,1.0,1.0
78º,Nepal NEP,0.0,0.0,1.0,1.0
79º,Paquistão PAQ,0.0,0.0,1.0,1.0
80º,Vietnã VIE,0.0,0.0,1.0,1.0
81º,Quênia QUE,0.0,1.0,0.0,1.0
82º,Sri Lanka SRI,0.0,1.0,0.0,1.0
83º,Trinidad e Tobago TRI,0.0,1.0,0.0,1.0
84º,Arábia Saudita ARS,1.0,0.0,0.0,1.0
85º,Bulgária BUL,1.0,0.0,0.0,1.0
86º,Peru PER,1.0,0.0,0.0,1.0
87º,Afeganistão AFE,0.0,0.0,0.0,0.0
88º,Angola ANG,0.0,0.0,0.0,0.0
89º,Armênia ARM,0.0,0.0,0.0,0.0
90º,Aruba ARU,0.0,0.0,0.0,0.0
91º,Bahrein BRN,0.0,0.0,0.0,0.0
92º,Bangladesh BAN,0.0,0.0,0.0,0.0
93º,Barbados BAR,0.0,0.0,0.0,0.0
94º,Benin BEN,0.0,0.0,0.0,0.0
95º,Bermudas BER,0.0,0.0,0.0,0.0
96º,Botsuana BOT,0.0,0.0,0.0,0.0
97º,Burkina Faso BFA,0.0,0.0,0.0,0.0
98º,Burundi BUR,0.0,0.0,0.0,0.0
99º,Butão BUT,0.0,0.0,0.0,0.0
100º,Cabo Verde CBV,0.0,0.0,0.0,0.0
101º,Camarões CAM,0.0,0.0,0.0,0.0
102º,Camboja CBJ,0.0,0.0,0.0,0.0
103º,Congo CON,0.0,0.0,0.0,0.0
104º,Costa do Marfim CMA,0.0,0.0,0.0,0.0
105º,El Salvador ESA,0.0,0.0,0.0,0.0
106º,Emirados Árabes Unidos EAU,0.0,0.0,0.0,0.0
107º,Eritreia ERI,0.0,0.0,0.0,0.0
108º,Estônia EST,0.0,0.0,0.0,0.0
109º,Fiji FIJ,0.0,0.0,0.0,0.0
110º,Filipinas FIL,0.0,0.0,0.0,0.0
111º,Gabão GAB,0.0,0.0,0.0,0.0
112º,Gâmbia GAM,0.0,0.0,0.0,0.0
113º,Gana GAN,0.0,0.0,0.0,0.0
114º,Granada GRA,0.0,0.0,0.0,0.0
115º,Guatemala GUA,0.0,0.0,0.0,0.0
116º,Guiné GUI,0.0,0.0,0.0,0.0
117º,Guiné-Bissau GUB,0.0,0.0,0.0,0.0
118º,Haiti HAI,0.0,0.0,0.0,0.0
119º,Honduras HON,0.0,0.0,0.0,0.0
120º,Iêmen IEM,0.0,0.0,0.0,0.0
121º,Ilhas Salomão ISA,0.0,0.0,0.0,0.0
122º,Ilhas Virgens Norte-Americanas IVI,0.0,0.0,0.0,0.0
123º,Islândia ISL,0.0,0.0,0.0,0.0
124º,Jamaica JAM,0.0,0.0,0.0,0.0
125º,Kiribati KIR,0.0,0.0,0.0,0.0
126º,Kosovo KOS,0.0,0.0,0.0,0.0
127º,Laos LAO,0.0,0.0,0.0,0.0
128º,Lesoto LES,0.0,0.0,0.0,0.0
129º,Líbano LIB,0.0,0.0,0.0,0.0
130º,Libéria LBR,0.0,0.0,0.0,0.0
131º,Líbia LBA,0.0,0.0,0.0,0.0
132º,Macau MAC,0.0,0.0,0.0,0.0
133º,Macedônia MAC,0.0,0.0,0.0,0.0
134º,Malauí MLU,0.0,0.0,0.0,0.0
135º,Maldivas MLD,0.0,0.0,0.0,0.0
136º,Mali MLI,0.0,0.0,0.0,0.0
137º,Malta MLT,0.0,0.0,0.0,0.0
138º,Mianmar MIA,0.0,0.0,0.0,0.0
139º,Moçambique MOC,0.0,0.0,0.0,0.0
140º,Nicarágua NIC,0.0,0.0,0.0,0.0
141º,Níger NIG,0.0,0.0,0.0,0.0
142º,Omã OMA,0.0,0.0,0.0,0.0
143º,Palestina PAL,0.0,0.0,0.0,0.0
144º,Panamá PAN,0.0,0.0,0.0,0.0
145º,Papua-Nova Guiné PNG,0.0,0.0,0.0,0.0
146º,Paraguai PAR,0.0,0.0,0.0,0.0
147º,Porto Rico PRC,0.0,0.0,0.0,0.0
148º,Qatar QAT,0.0,0.0,0.0,0.0
149º,Quirguistão QUI,0.0,0.0,0.0,0.0
150º,RD Congo COG,0.0,0.0,0.0,0.0
